Elapsed time,로그인,메뉴레프트,메뉴이동,메뉴인덱스,메뉴헤더,메인페이지,상세조회,초기화면,컨텐츠
28:44.0,1734,,,969.6666667,620,963,565,1123.75,961
28:44.5,1994,836,889,1087.5,,1091.25,1107,1183.5,
28:45.0,,,,,1231,,1557,,
28:45.5,1951,,,1076,1251.333333,1254.666667,,1438.5,1075
28:46.0,1563,766,,1625,1681,1677,,1175.666667,1606
28:46.5,1910.333333,1158,866,1430.75,1344,771.5,1607,,
28:47.0,1270,1273,1307,1312,,883.6666667,,,850
28:47.5,2127,1090,,992.5,1060,873,998,,941.6666667
28:48.0,1910,,1029,861,,938,,,1381
28:48.5,,1066,1180,1199,1353.5,1190,,1108,1201
28:49.0,,790,1441,1152,1430,1440,1698,,
28:49.5,,1279,1239.333333,,1655,1686.5,1213.5,,1298
28:50.0,,1190.5,700,1340,1163,2197,705,877.5,920.3333333
28:50.5,,1092,802.5,947.5,,,1127,979,879.5
28:51.0,2551,978,865.5,1086,1064,,880,1064,811.5
28:51.5,1283,512,737,,847.3333333,375,1044,966.5,1087
28:52.0,1049,348,742.5,,,,679,750.8,933.5
28:52.5,,964.5,,,,1014,592,615,830
28:53.0,1322.75,,870.6666667,1195,,1027.5,,871.3333333,549
28:53.5,1681,,696,586.5,,,,947,549
28:54.0,1971.5,,1036.5,1243,980,983.3333333,903,,
28:54.5,1944,587,,,1041,1080,1111.75,1438,
28:55.0,1988.333333,,,886.5,,1245.333333,,1040.666667,
28:55.5,2034.5,1040,,1153,1350,1362,,1169.25,911
28:56.0,2199,,678,1113.75,765.3333333,1187.5,,1476,
28:56.5,1418.5,764.5,,991,852.3333333,1094,,,969
28:57.0,1711.333333,828.6666667,626,854.5,858,1033,,,639
28:57.5,,670,555,1034,690,734.3333333,866,359,880.3333333
28:58.0,2065,831.25,1417,641,718,1070.75,,,890.5
28:58.5,,601,902.6666667,898.5,611.5,1320,671,1018,923.5
28:59.0,,1318.5,841,1157,1189,1334,,,1327.666667
28:59.5,1713,1045.5,1360,1305,904.5,,710,918,873
29:00.0,1577,683.5,803.5,,448,,1253,564,722.5
29:00.5,1195.5,786.3333333,1085.25,1239,1218.5,,702,748.3333333,
