Number of active threads,Average 로그인,Average 메뉴레프트,Average 메뉴이동,Average 메뉴인덱스,Average 메뉴헤더,Average 메인페이지,Average 상세조회,Average 초기화면,Average 컨텐츠,로그인,메뉴레프트,메뉴이동,메뉴인덱스,메뉴헤더,메인페이지,상세조회,초기화면,컨텐츠
32,,,,,,,,,,,56.331689089369846,70.9757258448358,33.96527751925746,271.1864406779661,30.71017274472169,93.47368255882458,47.07700858508262,59.75326236381881
33,,,,,,,,,,13.131715081575805,47.446236559139784,96.7741935483871,46.09905453102187,97.63313609467455,,21.970981722253626,51.44551569206905,74.202031010256
34,,,,,,,,,,16.480853126514784,72.03389830508475,53.93294902315698,,51.46809083775459,90.66666666666667,,48.54216103655027,46.74443773280983
35,,,,,,,,,,26.1400263915028,48.40940525587828,56.81818181818182,,27.97761790567546,50.93728261267528,40.96085462647602,57.00663595649999,56.79133915112592
36,,,,,,,,,,34.47197901958684,172.51753794500846,167.63718908874407,152.15773856111164,184.5482689588477,177.9867411441873,181.86164935390943,35.59661855573403,151.13452175902214
37,,,,,,,,57.020546542510644,,43.72395625567097,151.99924414210128,35.303724617991655,141.81867999787906,131.11730040861568,62.210678285588244,64.93207599768483,138.19007896781534,
38,27.174985386140524,63.18913112653267,62.910589056818864,57.90886336466906,64.50412282822461,56.462674417896814,,,61.45497925449895,27.25886228086602,,88.0426550762269,50.348213663904176,61.29032258064516,50.474346953795276,60.56254218110338,121.31880506057217,56.490811100994584
39,,,,,,,60.99250693565632,,,26.635554403249504,41.533546325878596,79.75460122699387,42.71448298916231,,39.43377148634985,35.230352303523034,42.44060784993557,
40,,,,,,,,,,19.02044698050404,54.570259208731244,44.99437570303712,50.06257822277847,32.49390739236393,60.82264040897478,,,
41,,,,,,,,,,24.13993866847725,48.91508252202223,44.32080780714628,36.705276425016194,41.25737367445576,38.437302183903256,52.00826538344536,46.59054984771561,52.233501276671376
42,,,,,,,,,,28.8659793814433,103.22440502781028,48.668787427634975,48.078508988949366,123.89380530973452,,90.78643343516922,42.90091930541369,95.68863563057735
